data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;6616;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2057;M. BENZ;OF 1721;2018-10-29;2018;DIESEL
2021-05-30 02:00:54.782021;3346;SUDESTE TRANSPORTES COLETIVOS LTDA;IZQ4F20;M. BENZ;OF1519;2019-10-25;2019;DIESEL
2021-05-30 02:00:54.782021;96;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8B90;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2021-05-30 02:00:54.782021;97;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8G53;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2021-05-30 02:00:54.782021;2219;VIACAO TERESOPOLIS CAVALHADA LTDA;IQI5696;M. BENZ;OF 1722M;2009-11-28;2009;DIESEL
2021-05-30 02:00:54.782021;2195;VIACAO TERESOPOLIS CAVALHADA LTDA;ISM2788;M. BENZ;OF 1722;2011-11-12;2011;DIESEL
2021-05-30 02:00:54.782021;6601;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL7453;M. BENZ;OF1724;2013-06-28;2012;DIESEL
2021-05-30 02:00:54.782021;6791;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQE3599;M. BENZ;O-500M;2009-10-02;2009;DIESEL
2021-05-30 02:00:54.782021;3041;SUDESTE TRANSPORTES COLETIVOS LTDA;IOF7349;M. BENZ;O-500M 1725;2007-11-07;2007;DIESEL
2021-05-30 02:00:54.782021;6717;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5422;M. BENZ;O-500M;2011-06-22;2011;DIESEL
2021-05-30 02:00:54.782021;6748;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL5451;M. BENZ;O-500M;2013-06-28;2012;DIESEL
2021-05-30 02:00:54.782021;6106;AUTO VIACAO NAVEGANTES LTDA;IUL4925;SCANIA;F250;2013-07-12;2012;DIESEL
2021-05-30 02:00:54.782021;2067;AUTO VIACAO PRESIDENTE VARGAS LTDA;ITT6140;M. BENZ;OF 1721;2012-11-24;2012;DIESEL
2021-05-30 02:00:54.782021;4815;AUTO VIACAO PRESIDENTE VARGAS LTDA;IXC1681;M. BENZ;O-500M;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;6757;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1453;M. BENZ;O-500M;2011-11-25;2011;DIESEL
2021-05-30 02:00:54.782021;6735;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1425;M. BENZ;O-500M;2011-11-25;2011;DIESEL
2021-05-30 02:00:54.782021;3335;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1040;M. BENZ;O500 U;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1047;TRANSPORTES COLETIVOS TREVO LTDA;IXC0972;VW;17230;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1199;TRANSPORTES COLETIVOS TREVO LTDA;IPI5781;M. BENZ;OF 1722M;2008-11-29;2008;DIESEL
2021-05-30 02:00:54.782021;3310;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1287;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;3319;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1089;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1035;TRANSPORTES COLETIVOS TREVO LTDA;IRL7274;M. BENZ;OF 1722M;2010-12-21;2010;DIESEL
2021-05-30 02:00:54.782021;1179;TRANSPORTES COLETIVOS TREVO LTDA;IOK6015;M. BENZ;OF 1722M;2008-01-10;2007;DIESEL
2021-05-30 02:00:54.782021;4428;VIACAO ALTO PETROPOLIS LTDA;IQD4662;M. BENZ;O-500M;2009-09-23;2009;DIESEL
2021-05-30 02:00:54.782021;6657;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IZP2B72;M. BENZ;OF 1721L;2019-10-02;2019;DIESEL
2021-05-30 02:00:54.782021;3042;SUDESTE TRANSPORTES COLETIVOS LTDA;IOF7308;M. BENZ;O-500M 1725;2007-11-07;2007;DIESEL
2021-05-30 02:00:54.782021;1221;TRANSPORTES COLETIVOS TREVO LTDA;IXC1957;M. BENZ;O-500M;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;6603;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8933;M. BENZ;OF 1722;2011-10-05;2011;DIESEL
2021-05-30 02:00:54.782021;6721;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1394;M. BENZ;O-500M;2011-11-25;2011;DIESEL
